Lfd_Nr,Sat_head_indicator,Sat_indicator,Sat_unit
370,Emissions (EDGAR),'c4f10_3C4_EDGAR_consistent',kilotonnes
371,Emissions (EDGAR),'c4f10_3C5_EDGAR_consistent',kilotonnes
372,Emissions (EDGAR),'c4f10_3C6_EDGAR_consistent',kilotonnes
373,Emissions (EDGAR),'c4f10_3C7_EDGAR_consistent',kilotonnes
374,Emissions (EDGAR),'c4f10_3C8_EDGAR_consistent',kilotonnes
375,Emissions (EDGAR),'c4f10_4A_EDGAR_consistent',kilotonnes
376,Emissions (EDGAR),'c4f10_4B_EDGAR_consistent',kilotonnes
377,Emissions (EDGAR),'c4f10_4C_EDGAR_consistent',kilotonnes
378,Emissions (EDGAR),'c4f10_4D_EDGAR_consistent',kilotonnes
379,Emissions (EDGAR),'c4f10_4E_EDGAR_consistent',kilotonnes
380,Emissions (EDGAR),'c4f10_5B_EDGAR_consistent',kilotonnes
381,Emissions (EDGAR),'c4f10_5A_EDGAR_consistent',kilotonnes
382,Emissions (EDGAR),'c5f12_total_EDGAR_consistent',kilotonnes
383,Emissions (EDGAR),'c5f12_1A1a_EDGAR_consistent',kilotonnes
